"","pcc_ids","sak_ids"
"367","PCCGCIGL_00530","SAKL0A08448g"
"368","PCCGCIGL_00531","SAKL0A08470g"
"369","PCCGCIGL_00532","SAKL0A08492g"
"370","PCCGCIGL_00535","SAKL0A08514g"
"371","PCCGCIGL_00536","SAKL0A08536g"
"372","PCCGCIGL_00537","SAKL0A08558g"
"373","PCCGCIGL_00538","SAKL0A08580g"
"374","PCCGCIGL_00539","SAKL0A08602g"
"375","PCCGCIGL_00540","SAKL0A08624g"
"376","PCCGCIGL_00542","SAKL0A08646g"
"377","PCCGCIGL_00543","SAKL0A08668g"
"378","PCCGCIGL_00544","SAKL0A08690g"
"379","PCCGCIGL_00546","SAKL0A08734g"
"380","PCCGCIGL_00548","SAKL0A08756g"
"381","PCCGCIGL_00550","SAKL0A08778g"
"382","PCCGCIGL_00551","SAKL0A08800g"
"383","PCCGCIGL_00552","SAKL0A08822g"
"384","PCCGCIGL_00554","SAKL0A08844g"
"385","PCCGCIGL_00556","Sklu_CEN1"
"386","PCCGCIGL_00557","SAKL0A08888g"
"387","PCCGCIGL_00558","SAKL0A08910g"
"388","PCCGCIGL_00559","SAKL0A08932g"
"389","PCCGCIGL_00561","SAKL0A08954g"
"390","PCCGCIGL_00563","SAKL0A08976g"
"391","PCCGCIGL_00565","SAKL0A08998g"
"392","PCCGCIGL_00566","SAKL0A09020g"
"393","PCCGCIGL_00567","SAKL0A09042g"
"394","PCCGCIGL_00568","SAKL0A09064g"
"395","PCCGCIGL_00570","Sklu_1.trna8H"
"396","PCCGCIGL_00573","SAKL0A09152g"
"397","PCCGCIGL_00575","SAKL0A09174g"
"398","PCCGCIGL_00576","SAKL0A09196g"
"399","PCCGCIGL_00577","SAKL0A09218g"
"400","PCCGCIGL_00579","SAKL0A09240g"
"401","PCCGCIGL_00581","SAKL0A09262g"
"402","PCCGCIGL_00582","SAKL0A09284g"
"403","PCCGCIGL_00584","SAKL0A09306g"
"404","PCCGCIGL_00585","SAKL0A09328g"
"405","PCCGCIGL_00586","SAKL0A09350g"
"406","PCCGCIGL_00588","SAKL0A09372g"
